smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
O=P(O)(O)C1CCCCN1,-7.442064999999986,-7.652414,0.5074433333333322,0.44931746,8.195658333333336,8.598598,1.2381934635111516,98
BC.O=S1(=O)CCCC1,-7.805789999999974,-7.067801,0.2479933333333334,0.43101865,8.211109999999996,8.611354,1.2353059226179162,99
CCCOC(C)=O.O=[PH](O)O,-7.511991333333322,-7.1596527,0.4090633333333321,0.21680823,8.05754633333333,8.652545,1.2351523896814034,100
O=P(O)(O)C1CCSC1,-7.556198333333324,-7.3361373,0.6019013333333321,0.33124354,8.017186666666671,8.626528,1.2348642780914645,101
CCOP(=O)(OCC)OCC.O=[PH](F)F,-7.7096283333333355,-7.760615,0.5602006666666651,0.6745235,8.165485000000018,8.684065,1.2345821131435426,102
C1CCOC1.O=[PH](O)O,-7.403573333333301,-6.9951987,0.4030933333333328,0.2177591,8.075019999999995,8.429907,1.23429742540789,103
CCCPC(C)=O,-7.571528333333323,-7.582349,0.3471000000000001,0.49276245,8.081135999999995,8.825563,1.2342376795856485,104
O=C1CCCN1.O=[PH](O)O,-7.4233416666666505,-7.013913,0.4427323809523801,0.16067378,8.009671333333332,8.535019,1.2338607521333187,105
C1CCSC1.CP(=O)(O)O,-7.3619709999999685,-6.825349,0.573057333333332,0.5876697,7.759399999999995,8.179328,1.2337566654340784,106
CC(=O)CC(=O)OCP(=O)(O)O,-7.50090833333332,-7.4779716,0.5109993333333318,0.19870012,8.186502999999998,8.683441,1.2336117666142004,107
CCOC(=O)OCC.O[PH](O)=S,-7.822806666666648,-7.0416594,0.46894666666666546,0.44449744,8.019996333333333,8.611271,1.233600159743089,108
O=C1OCC(F)(F)O1.O[PH](O)=S,-7.67534666666665,-7.6126485,0.5916016666666656,0.7541171,8.224909999999985,8.394307,1.232501964987755,109
CCC#N.CP(=O)(O)O,-7.4375949999999715,-7.9692945,0.7836133333333318,0.715599,8.19246500000001,8.40072,1.2324853463907304,110
CCOC(=O)OCC.O=[PH](F)F,-7.858147333333318,-7.0623546,0.26741233333333375,0.44175676,8.154188333333336,8.666555,1.2324488261663156,111
