smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
C[Si]1(C)C=C[Si](C)(C)O1.O[PH](O)=S,-7.996659999999983,0.6345399999999972,8.229419999999994,0.7216385331780861,0.6158514294070311,0.7255220090293166,0.6914557923872618,67,0,1,256.412
C[PH](C)=O.O=S1(=O)CCC1,-8.201639999999989,0.2340000000000003,8.349880000000011,0.8707799767170918,0.37180424557042213,0.7963341798344405,0.6913089386200304,68,0,1,184.19699999999995
CC(C#N)C#N.O=P(O)(O)OP(=O)(O)O,-7.7712799999999875,0.8189799999999962,8.294580000000003,0.5576542491268643,0.7282298749725782,0.7638261851015553,0.691295711270455,69,0,1,258.063
OP(O)(O)=S.c1ccccc1,-7.825199999999993,0.940359999999997,8.148820000000004,0.5968859138532947,0.8021861519339005,0.6781414597441477,0.6909782036338177,70,0,1,192.17600000000002
O=[PH](O)O.O=[PH]1OCC(F)(F)CO1,-7.511299999999974,0.741779999999997,8.594300000000002,0.368495343422544,0.681192269259825,0.9400159894657305,0.690912679591003,71,0,1,240.03499999999994
CC1(C)OC(=O)O1.OP(O)(O)=S,-7.815959999999984,0.6860799999999977,8.354439999999988,0.5901629802095165,0.6472545148789915,0.7990147667418759,0.6908311552233029,72,0,1,216.151
CCOC(=O)OC.O=P(O)(O)OP(=O)(O)O,-7.838339999999983,0.7535999999999964,8.276620000000007,0.6064464493596908,0.6883941410153266,0.753268434913446,0.6897595510778837,73,0,1,282.078
CCOC(=O)OC.O=P(O)(O)OP(=O)(O)O,-7.838339999999983,0.7535999999999964,8.276620000000007,0.6064464493596908,0.6883941410153266,0.753268434913446,0.6897595510778837,74,0,1,282.078
CP(=O)(O)O.FC(F)(F)C(F)(F)S(F)(F)F,-7.569719999999973,0.8204599999999961,8.473939999999992,0.411001164144313,0.7291316321805429,0.8692626034612134,0.6897448802819421,75,0,1,304.09499999999997
O=P(O)(O)OP(=O)(O)O.O=S1(=O)CCC1,-7.934859999999989,0.6576399999999967,8.261500000000009,0.6766734575087066,0.6299261533962096,0.7443801730624324,0.6897319524964478,76,0,1,284.1190000000001
O=P(O)(O)OP(=O)(O)O.O=S1(=O)CCC1,-7.934859999999989,0.6576399999999967,8.261500000000009,0.6766734575087066,0.6299261533962096,0.7443801730624324,0.6897319524964478,77,0,1,284.1190000000001
CCP(C)(C)=O.O=P(O)(O)O,-7.737259999999982,0.8671999999999962,8.281260000000009,0.5329016298020637,0.7576100996807257,0.7559960496613778,0.6895519387093879,78,0,1,204.099
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1.O=[PH](O)O,-7.82825999999998,0.7054399999999963,8.311379999999977,0.5991123399301186,0.6590504740318263,0.7737020316026681,0.6869296568296508,79,0,1,304.4599999999999
F[B-](F)F.O=P(O)(O)O,-7.836659999999971,0.865659999999996,8.17660000000002,0.6052240977880867,0.7566717847481136,0.69447187735138,0.6863575157014121,80,1,1,165.80000000000004
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccccc1,-7.743599999999991,0.7149999999999973,8.377199999999991,0.5375145518043984,0.6648753381589503,0.8123941873588825,0.6856746419325576,81,1,1,307.546
CP(=O)(O)O.O=[PH]1OCC(F)(F)CO1,-7.517159999999978,0.7932599999999964,8.524199999999999,0.3727590221187054,0.7125587970071376,0.898807844243759,0.6851184834352566,82,0,1,254.06199999999993
CCOC.O[PH](O)=S,-7.929859999999986,0.7729199999999966,8.15432,0.6730355064027673,0.7001657283517309,0.6813746237772529,0.6845102199372506,83,0,1,158.159
