smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
COP(=O)(OC)OC.O=P(O)(O)OP(=O)(O)O,-7.588751333333318,-7.6780224,0.3873499999999985,0.11685363,7.691983952380932,8.4428625,1.0125837797208161,719
CCOC(=O)OCCB(F)F,-7.8783706666666555,-7.4709935,0.26327738095238157,0.29329053,8.12974666666665,8.0260105,1.0122319941641424,720
C1CCNCC1.OB(O)O,-7.746109999999986,-7.3988442,0.084575,-0.057052735,7.911739999999997,8.487133,1.0121598086243293,721
CCOC(=O)OC(C)P(=O)(F)F,-7.936637666666666,-8.083841,0.3025293333333337,0.509425,8.200788999999984,8.264423,1.0117637731626488,722
CCOBOCC.O=C1CCCN1,-7.686444999999999,-7.3000283,0.10562000000000013,0.16953409,7.652862999999978,8.438254,1.0115255857349355,723
C1CCCC1.C[PH](C)=O,-7.599048333333317,-7.1597166,0.2532986666666665,0.40195572,7.871515666666655,7.7625237,1.0112812812012995,724
O=P(Cl)(Cl)c1ccc[nH]1,-7.503409999999996,-6.968554,0.3567266666666669,0.40647528,7.981888999999987,7.3546395,1.0109913944104183,725
C1CCSC1.C[P+](C)C,-7.690166666666645,-7.1984453,0.36188399999999976,0.14408395,7.922703333333314,7.918199,1.010783873158232,726
COCCOCB(F)F,-7.834132666666652,-8.053982,0.1322899999999999,0.104627244,8.163717999999985,8.628456,1.0107552426198243,727
Bc1ccccc1.CC1(C)OC(=O)O1,-7.797971666666656,-7.578504,0.0009416666666666597,0.16475792,8.021449666666644,8.440179,1.010709283076936,728
CCOC(=O)OCB(OC)OC,-7.930486666666659,-8.198219,0.2664516666666673,0.42745012,8.024054666666636,8.604708,1.0105318500823293,729
CCOC.CN(C)[PH](=N)N(C)C,-7.687455999999981,-7.6120195,0.1927606666666667,0.31207028,7.972309666666668,8.175543,1.0103738108326308,730
O=S1(=O)OCCCO1.OB(O)OB(O)O,-7.899996666666661,-7.9693246,0.20708233333333348,0.011550151,8.148604666666673,8.636322,1.009382021935616,731
FBF.N#CC1CO1,-7.658738333333327,-7.896226,0.1043099999999999,0.38905182,8.027982666666658,8.314919,1.0093400620136577,732
FBF.O=S1(=O)CCC1,-8.041005833333314,-8.659686,0.21109304761904754,0.48420495,8.303385000000004,8.746279,1.0091236636143046,733
CP(C)C.FC(F)C(F)(F)F,-7.842615666666662,-8.087369,0.350444333333333,0.5795321,8.150201666666664,8.145038,1.0090466318007794,734
O=P(Cl)(Cl)c1ccsc1,-7.576239999999992,-6.9562364,0.31831666666666697,0.29660338,7.993065666666653,7.4892983,1.008839354941494,735
CCOC.C[P+](C)C,-7.813559999999983,-7.6054745,0.2948633333333329,0.26295042,8.148359999999995,8.0415745,1.008803787879946,736
B1OCCO1.CO[PH](=O)OC,-7.605926666666647,-7.180034,-0.08735666666666693,0.063728146,7.824749999999987,8.32406,1.0083236858588465,737
CP(C)C1CCCCN1,-7.56168999999999,-7.289771,0.3071673333333331,0.8281193,7.816967999999986,7.511217,1.0082108531524643,738
